Country name,Regional indicator,Ladder score,Logged GDP per capita,Social support,Healthy life expectancy,Freedom to make life choices,Generosity,Perceptions of corruption,Law,Press_Freedom,Political_Rights,Inequality,Schooling,armed_conflicts,Unemployment rate
Norway,Western Europe,7.392,11.053,0.954,73.3,0.96,0.093,0.27,97.25098719,100.0,100.0,27.55,13.00362968,0.0,4.99
Pakistan,South Asia,4.934,8.458,0.651,58.709,0.726,0.098,0.787,31.41559447,41.00377766,40.47619048,37.205,4.536330223,1.0,4.35
Panama,Latin America and Caribbean,6.18,10.35,0.896,69.652,0.872,-0.166,0.856,41.33096524,67.76038856,88.0952381,51.555,9.938480377,0.0,12.09
Paraguay,Latin America and Caribbean,5.653,9.448,0.893,65.9,0.876,0.028,0.882,33.4399975,62.98974636,71.42857143,46.68,4.74,1.0,7.21
Peru,Latin America and Caribbean,5.84,9.458,0.832,68.25,0.822,-0.154,0.891,34.50530888,66.64867782,76.19047619,51.335,8.861840248,1.0,4.83
Philippines,Southeast Asia,5.88,9.076,0.83,62.0,0.917,-0.097,0.742,31.28953792,45.1592013,64.28571429,45.4,9.885518863,1.0,2.41
Poland,Central and Eastern Europe,6.166,10.382,0.898,69.702,0.841,-0.165,0.735,58.94083643,70.84727469,85.71428571,31.84,8.969099998,0.0,3.37
Portugal,Western Europe,5.929,10.421,0.879,72.6,0.892,-0.244,0.887,76.47269855,93.97733405,97.61904762,32.76,13.1647501,0.0,6.65
Romania,Central and Eastern Europe,6.14,10.284,0.832,67.355,0.845,-0.219,0.938,58.00265028,73.89098759,88.0952381,35.04,9.99601145,0.0,5.17
Russia,Commonwealth of Independent States,5.477,10.189,0.903,64.703,0.718,-0.111,0.845,25.490988,41.89962223,16.66666667,35.04,11.27511978,1.0,5.01
Rwanda,Sub-Saharan Africa,3.415,7.676,0.552,61.4,0.897,0.061,0.167,52.7476563,48.76416622,23.80952381,53.94,12.77428805,0.0,1.61
Saudi Arabia,Middle East and North Africa,6.494,10.743,0.891,66.603,0.877,-0.149,0.684,53.48510649,36.38424177,7.142857143,54.41,4.425292358,1.0,7.36
Senegal,Sub-Saharan Africa,5.132,8.118,0.71,59.802,0.695,-0.046,0.801,38.35265123,68.0733945,73.80952381,47.8,11.31052971,0.0,3.72
Serbia,Central and Eastern Europe,6.078,9.787,0.873,68.6,0.778,0.002,0.835,45.29679318,66.38963842,54.76190476,28.06,2.937938258,0.0,11.81
Sierra Leone,Sub-Saharan Africa,3.849,7.434,0.63,51.651,0.717,0.084,0.866,26.79314007,76.66486778,71.42857143,47.0,11.36987019,0.0,5.33
Singapore,Southeast Asia,6.377,11.488,0.915,76.953,0.927,-0.018,0.082,94.90608043,47.73880194,50.0,33.695,4.576081285,0.0,3.62
Slovakia,Central and Eastern Europe,6.331,10.369,0.936,69.201,0.766,-0.124,0.911,65.58836737,84.58715596,92.85714286,23.19,11.92488003,0.0,6.74
Slovenia,Central and Eastern Europe,6.461,10.529,0.948,71.4,0.949,-0.101,0.806,73.84095625,73.97733405,95.23809524,29.94,12.91141987,0.0,4.42
South Africa,Sub-Saharan Africa,4.956,9.403,0.86,56.904,0.749,-0.067,0.86,50.95172698,81.55423637,83.33333333,65.41,12.80368042,0.0,33.56
South Korea,East Asia,5.845,10.651,0.799,73.9,0.672,-0.083,0.727,76.30108264,77.83054506,83.33333333,34.43,12.51293027,1.0,3.53
Spain,Western Europe,6.491,10.571,0.932,74.7,0.761,-0.081,0.745,69.91830989,82.79546681,92.85714286,34.43,11.37316036,0.0,14.73
Sri Lanka,South Asia,4.325,9.47,0.827,67.299,0.841,0.079,0.863,48.60641825,45.47220723,59.52380952,48.98,10.60540009,0.0,5.39
Swaziland,Sub-Saharan Africa,4.308,9.065,0.77,50.833,0.647,-0.185,0.708,33.34831905,50.10253643,7.142857143,66.65,5.596,0.0,25.76
Sweden,Western Europe,7.363,10.867,0.934,72.7,0.945,0.086,0.237,91.75329831,95.8877496,100.0,29.3,9.77680063,0.0,8.66
Switzerland,Western Europe,7.571,11.117,0.942,74.4,0.919,0.025,0.292,93.64506892,89.28224501,97.61904762,31.925,12.60972023,0.0,5.32
Tajikistan,Commonwealth of Independent States,5.466,8.091,0.86,64.281,0.832,-0.056,0.553,17.4649945,43.45385861,4.761904762,42.23,11.3333938,0.0,7.75
Tanzania,Sub-Saharan Africa,3.623,7.876,0.702,57.999,0.833,0.183,0.577,34.31567188,52.11009174,33.33333333,51.37,6.37289871,1.0,2.65
Thailand,Southeast Asia,5.985,9.805,0.888,67.401,0.884,0.287,0.895,50.55209339,54.12844037,16.66666667,41.845,8.697119713,1.0,1.42
Togo,Sub-Saharan Africa,4.107,7.362,0.569,54.914,0.619,0.032,0.772,33.39273161,61.70534269,40.47619048,52.135,5.016807367,0.0,4.0
Tunisia,Middle East and North Africa,4.596,9.266,0.691,67.201,0.656,-0.201,0.87,50.06156653,63.13005936,66.66666667,41.37,7.431598614,1.0,16.82
Turkey,Middle East and North Africa,4.948,10.24,0.822,67.199,0.576,-0.139,0.776,37.0282542,44.52239611,42.85714286,44.85,8.63313961,1.0,13.39
Turkmenistan,Commonwealth of Independent States,5.066,9.629,0.983,62.409,0.877,0.273,0.888,10.93037746,26.99406368,4.761904762,48.89,11.26139,0.0,5.08
Uganda,Sub-Saharan Africa,4.636,7.677,0.781,56.101,0.709,0.122,0.855,38.66746421,50.02698327,30.95238095,54.52,5.730941566,1.0,2.94
Ukraine,Commonwealth of Independent States,4.875,9.436,0.888,64.902,0.724,-0.011,0.924,30.83314341,60.18348624,66.66666667,29.84,11.13142043,1.0,8.88
United Arab Emirates,Middle East and North Africa,6.561,11.085,0.844,67.333,0.932,0.074,0.589,68.75358374,47.98704803,16.66666667,36.875,12.69402981,0.0,3.36
United Kingdom,Western Europe,7.064,10.707,0.934,72.5,0.859,0.233,0.459,83.93542555,84.95412844,97.61904762,34.775,13.4061203,0.0,4.53
United States,North America and ANZ,6.951,11.023,0.92,68.2,0.837,0.098,0.698,83.68128583,78.51052348,80.95238095,41.54,13.68342972,0.0,5.46
Uruguay,Latin America and Caribbean,6.431,9.966,0.925,69.1,0.896,-0.092,0.59,66.25694191,77.7441986,100.0,41.1,8.982549667,0.0,10.45
Uzbekistan,Commonwealth of Independent States,6.179,8.836,0.918,65.255,0.97,0.311,0.515,25.07799882,49.36859147,9.523809524,45.53,11.89558983,0.0,7.16
Vietnam,Southeast Asia,5.411,8.973,0.85,68.034,0.94,-0.098,0.796,43.90293193,28.18132758,11.9047619,43.75,8.370280266,0.0,2.17
Yemen,Middle East and North Africa,3.658,7.578,0.832,57.122,0.602,-0.147,0.8,1.846581377,31.45169995,7.142857143,58.16,3.2,1.0,13.57
Zambia,Sub-Saharan Africa,4.073,8.145,0.708,55.809,0.782,0.061,0.823,32.53270735,59.79492715,54.76190476,61.74,7.187091494,0.0,13.03
Zimbabwe,Sub-Saharan Africa,3.145,7.943,0.75,56.201,0.677,-0.047,0.821,15.54339507,48.50512682,30.95238095,54.475,8.710908501,0.0,5.17
